1	3.0	Chemical Engineering	310	1
2	3.0	Computer Sciences	302	1
3	3.5	Civil Engineering	375	1
4	4.0	Mathematics	461	1
5	3.0	Industrial Engineering	514	1
6	3.5	Computer Sciences	302	2
7	4.0	Computer Sciences	302	1
8	4.0	Computer Sciences	302	1
9	3.0	Civil Engineering	375	1
10	2.0	Computer Sciences	302	1
11	3.0	Computer Sciences	302	2
12	2.5	Computer Sciences	302	2
13	2.5	Computer Sciences	302	2
14	2.5	Mathematics	462	1
15	3.0	Chemical Engineering	310	1
16	3.0	Computer Sciences	467	1
16	3.0	Computer Sciences	701	1
17	3.0	Mathematics	461	1
18	2.0	Civil Engineering	375	1
18	3.5	Mathematics	461	1
19	3.5	Mathematics	461	1
20	2.5	Computer Sciences	302	1
21	3.0	Computer Sciences	467	1
21	3.5	Industrial Engineering	514	1
22	3.0	Computer Sciences	302	1
22	3.0	Computer Sciences	467	1
23	4.0	Civil Engineering	561	1
24	4.0	Computer Sciences	302	2
25	3.5	Computer Sciences	302	1
26	3.5	Mathematics	462	1
27	2.5	Industrial Engineering	514	1
28	3.0	Mathematics	461	1
29	3.0	Civil Engineering	365	1
29	3.0	Civil Engineering	375	1
29	3.0	Civil Engineering	561	1
30	4.0	Computer Sciences	467	1
31	3.5	Computer Sciences	302	1
32	2.0	Civil Engineering	561	1
33	2.0	Civil Engineering	365	1
33	3.0	Computer Sciences	726	1
34	1.0	Civil Engineering	561	1
35	3.0	Mathematics	461	1
36	3.0	Civil Engineering	375	1
37	3.0	Mathematics	462	1
38	3.0	Computer Sciences	302	2
39	3.0	Computer Sciences	302	1
40	3.5	Mathematics	462	1
41	3.0	Computer Sciences	701	1
42	3.5	Computer Sciences	701	1
43	2.5	Computer Sciences	467	1
44	4.0	Computer Sciences	726	1
45	3.0	Chemical Engineering	310	1
46	4.0	Computer Sciences	726	1
47	0.0	Civil Engineering	561	1
47	1.0	Civil Engineering	365	1
48	1.5	Civil Engineering	561	1
49	3.5	Chemical Engineering	310	1
49	3.5	Industrial Engineering	514	1
50	4.0	Industrial Engineering	514	1
51	3.0	Computer Sciences	726	1
52	1.0	Computer Sciences	302	1
52	4.0	Computer Sciences	467	1
53	4.0	Mathematics	462	1
54	3.0	Civil Engineering	375	1
55	2.5	Mathematics	461	1
56	2.5	Chemical Engineering	310	1
57	3.5	Computer Sciences	467	1
58	2.0	Industrial Engineering	514	1
59	3.5	Mathematics	462	1
60	2.5	Civil Engineering	561	1
61	2.0	Computer Sciences	726	1
61	3.5	Civil Engineering	561	1
62	2.5	Computer Sciences	726	1
63	2.5	Computer Sciences	701	1
64	3.5	Computer Sciences	726	1
64	4.0	Civil Engineering	561	1
66	1.5	Civil Engineering	365	1
66	4.0	Civil Engineering	375	1
67	3.5	Computer Sciences	467	1
67	4.0	Computer Sciences	701	1
68	3.5	Computer Sciences	726	1
69	2.0	Computer Sciences	467	1
69	3.5	Computer Sciences	302	2
70	3.5	Civil Engineering	561	1
71	2.5	Computer Sciences	701	1
72	3.5	Computer Sciences	726	1
73	3.0	Civil Engineering	375	1
74	2.5	Civil Engineering	365	1
75	3.0	Computer Sciences	726	1
76	3.5	Civil Engineering	365	1
77	2.0	Computer Sciences	701	1
78	3.0	Industrial Engineering	514	1
79	4.0	Civil Engineering	365	1
80	4.0	Computer Sciences	726	1
81	2.5	Civil Engineering	561	1
82	3.5	Computer Sciences	726	1
83	3.0	Computer Sciences	726	1
84	3.0	Computer Sciences	726	1
85	3.5	Civil Engineering	375	1
86	2.5	Computer Sciences	467	1
86	3.0	Computer Sciences	701	1
87	4.0	Computer Sciences	701	1
88	2.0	Chemical Engineering	310	1
89	3.5	Computer Sciences	701	1
90	3.5	Computer Sciences	726	1
90	3.5	Mathematics	462	1
91	4.0	Mathematics	462	1
92	4.0	Computer Sciences	726	1
93	4.0	Chemical Engineering	310	1
94	2.0	Mathematics	461	1
96	3.0	Civil Engineering	561	1
96	4.0	Civil Engineering	365	1
97	3.0	Industrial Engineering	514	1
98	4.0	Industrial Engineering	514	1
99	3.5	Computer Sciences	701	1
100	2.0	Computer Sciences	726	1
101	4.0	Mathematics	462	1
102	3.5	Mathematics	461	1
103	4.0	Computer Sciences	701	1
104	2.5999999046325684	Sanitary Engineering	561	1
104	2.7999999523162842	Computer Sciences	302	2
